id,Artist
1,Black Sabbath
2,Metallica
3,Judas Priest
4,Iron Maiden
5,Slayer
6,Motörhead
7,Megadeth
8,Ozzy Osbourne
9,Pantera
10,Dio
11,Mercyful Fate
12,Tool
13,Anthrax
14,Mötley Crüe
15,Danzig
16,Rage Against The Machine
17,Alice In Chains
18,System Of A Down
19,Celtic Frost
20,Sepultura
21,Korn
22,Van Halen
23,Mayhem
24,Kyuss
25,Diamond Head
26,Exodus
27,Mastodon
28,Rainbow
29,Neurosis
30,Slipknot
31,Carcass
32,Def Leppard
33,Type O Negative
34,Helmet
35,Opeth
36,The Dillinger Escape Plan
37,Emperor
38,Life Of Agony
39,Napalm Death
40,Melvins
41,Converge
42,Sleep
43,Sodom
44,Godflesh
45,Faith No More
46,Deftones
47,Queensrÿche
48,Marilyn Manson
49,Soundgarden
50,Death
51,Living Colour
52,ISIS
53,Scorpions
54,Venom
55,Morbid Angel
56,Twisted Sister
57,At The Gates
58,Voivod
59,Meshuggah
60,Ministry
61,Bathory
62,Entombed
63,Baroness
64,High On Fire
65,Darkthrone
66,Lamb of God
67,Manowar
68,Pig Destroyer
69,Nightwish
70,Body Count
71,Naked City
72,Eyehategod
73,White Zombie
74,Deafheaven
75,Dream Theater
76,Kvelertak
77,Gojira
78,Sunn 0)))
79,Evanescence
80,Avenged Sevenfold
